,Age,Credit amount,Duration,Sex_cat,Job_cat,Housing_cat,Purpose_cat,Saving accounts_cat,Checking account_cat
231,51,2507,9,1,1,0,1,2,0
232,35,2141,12,1,2,1,5,1,0
233,25,866,18,1,1,1,5,0,1
234,42,1544,4,1,1,1,5,0,0
235,30,1823,24,1,3,1,5,0,0
236,23,14555,6,1,0,1,1,0,1
237,61,2767,21,1,1,2,0,1,1
238,35,1291,12,0,2,1,5,0,0
239,39,2522,30,1,2,1,5,0,0
240,29,915,24,0,2,1,1,0,0
241,51,1595,6,1,2,1,5,0,0
242,24,4605,48,1,2,0,1,0,0
243,27,1185,12,0,2,1,0,0,0
244,35,3447,12,0,1,1,3,2,0
245,25,1258,24,1,2,1,0,0,0
246,52,717,12,1,2,1,5,0,0
247,35,1204,6,1,2,2,1,1,0
248,26,1925,24,1,2,1,4,0,2
249,22,433,18,0,2,2,5,0,0
250,39,666,6,0,1,1,1,3,0
251,46,2251,12,0,1,1,4,0,2
252,24,2150,30,0,2,1,1,0,1
253,35,4151,24,1,2,1,4,1,0
254,24,2030,9,1,2,1,4,0,1
255,27,7418,60,1,1,1,5,0,1
256,35,2684,24,1,1,1,5,0,0
257,29,2149,12,1,2,0,5,0,0
258,23,3812,15,0,2,1,1,1,0
259,57,1154,11,0,1,1,5,1,0
260,27,1657,12,1,2,1,4,0,0
261,55,1603,24,0,2,1,5,0,0
262,36,5302,18,1,3,0,1,0,0
263,57,2748,12,0,1,0,3,0,0
264,32,1231,10,1,1,1,1,0,0
265,37,802,15,1,2,1,5,0,1
266,36,6304,36,1,2,1,0,0,0
267,38,1533,24,0,2,1,5,0,0
268,45,8978,14,1,3,1,1,0,0
269,25,999,24,1,2,1,5,0,0
270,32,2662,18,1,2,1,1,0,0
271,37,1402,12,0,2,2,4,2,0
272,36,12169,48,1,3,0,1,0,1
273,28,3060,48,1,2,1,5,0,1
274,34,11998,30,1,1,1,6,0,0
275,32,2697,9,1,2,1,5,0,0
276,26,2404,18,0,2,1,5,0,0
277,49,1262,12,1,1,1,4,0,0
278,32,4611,6,0,2,1,4,0,0
279,29,1901,24,1,3,2,5,1,0
280,23,3368,15,1,2,2,1,3,0
281,50,1574,12,1,2,1,4,0,0
282,49,1445,18,1,1,1,5,0,2
283,63,1520,15,1,2,1,4,0,0
284,37,3878,24,1,2,1,1,1,1
285,35,10722,47,0,1,1,1,0,0
286,26,4788,48,1,2,1,1,0,0
287,31,7582,48,1,3,0,7,1,1
288,49,1092,12,0,2,1,5,0,1
289,48,1024,24,1,2,1,5,0,0
290,26,1076,12,1,2,1,0,0,0
291,28,9398,36,1,3,2,1,0,1
292,44,6419,24,0,3,0,1,0,0
293,56,4796,42,1,2,0,1,0,2
294,46,7629,48,1,3,1,0,0,0
295,26,9960,48,0,2,1,4,0,1
296,20,4675,12,0,2,2,1,0,0
297,45,1287,10,1,1,1,1,0,0
298,43,2515,18,1,2,1,4,0,0
299,32,2745,21,1,2,1,4,3,1
300,54,672,6,0,0,1,1,0,0
301,42,3804,36,0,2,1,5,0,1
302,37,1344,24,1,1,1,1,0,2
303,49,1038,10,1,2,1,1,0,0
304,44,10127,48,1,2,0,1,2,0
305,33,1543,6,1,2,1,4,3,0
306,24,4811,30,0,1,2,1,0,0
307,33,727,12,1,1,1,5,1,0
308,24,1237,8,0,2,1,4,0,1
309,22,276,9,1,1,2,1,0,1
310,40,5381,48,1,0,0,7,0,1
311,25,5511,24,1,2,1,4,1,0
312,26,3749,24,0,2,1,4,0,2
313,25,685,12,1,1,1,1,0,1
314,29,1494,4,1,1,1,1,0,2
315,31,2746,36,1,2,1,4,0,0
316,38,708,12,1,1,1,4,0,0
317,48,4351,24,0,1,1,4,0,1
318,32,701,12,1,2,1,3,0,0
319,27,3643,15,0,1,1,4,0,0
320,28,4249,30,1,3,1,1,0,1
321,32,1938,24,1,2,1,5,0,0
322,34,2910,24,1,3,0,1,0,0
323,28,2659,18,1,2,1,4,3,0
324,36,1028,18,0,2,1,1,0,0
325,39,3398,8,1,1,1,1,0,0
326,49,5801,12,1,2,2,4,0,0
327,34,1525,24,0,2,1,1,3,0
328,31,4473,36,1,2,1,5,0,2
329,28,1068,6,1,2,1,5,0,1
330,75,6615,24,1,3,0,1,0,0
331,30,1864,18,0,2,1,3,1,0
332,24,7408,60,0,3,1,1,1,1
333,24,11590,48,0,1,2,1,1,0
334,23,4110,24,1,2,2,4,0,0
335,44,3384,6,1,3,2,4,0,0
336,23,2101,13,0,1,1,5,0,1
337,24,1275,15,0,2,2,2,0,0
338,28,4169,24,1,2,1,4,0,0
339,31,1521,10,1,1,1,4,0,1
340,24,5743,24,0,2,0,3,0,1
341,26,3599,21,0,1,2,4,0,0
342,25,3213,18,1,2,2,5,2,1
343,33,4439,18,1,3,1,0,0,1
344,37,3949,10,1,1,1,1,0,2
345,43,1459,15,0,1,1,5,0,0
346,23,882,13,1,2,1,5,0,1
347,23,3758,24,0,0,2,5,2,1
348,34,1743,6,1,1,1,0,1,0
349,32,1136,9,1,2,0,3,3,1
350,23,1236,9,0,2,2,2,0,0
351,29,959,9,0,2,1,4,0,1
352,38,3229,18,1,3,1,1,0,0
353,28,6199,12,1,2,2,5,0,0
354,46,727,10,1,2,0,3,2,0
355,23,1246,24,1,1,1,1,0,1
356,49,2331,12,1,2,1,5,0,0
357,26,4463,36,1,3,1,5,0,0
358,28,776,12,1,2,1,5,0,0
359,23,2406,30,0,2,2,4,0,0
360,61,1239,18,1,2,0,3,0,1
361,37,3399,12,1,3,1,5,0,2
362,36,2247,12,0,2,1,1,0,2
363,21,1766,6,1,2,2,4,0,0
364,25,2473,18,1,0,1,4,0,0
365,36,1542,12,1,2,1,0,0,0
366,27,3850,18,1,2,1,1,0,0
367,22,3650,18,0,2,2,4,0,0
368,42,3446,36,1,2,1,4,0,0
369,40,3001,18,0,2,2,4,0,1
370,36,3079,36,1,2,1,1,0,0
371,33,6070,18,1,2,1,5,0,0
372,23,2146,10,0,2,2,4,0,0
373,63,13756,60,1,3,0,1,0,0
374,60,14782,60,0,3,0,7,1,1
375,37,7685,48,0,2,2,0,0,0
376,34,2320,18,1,2,1,5,0,0
377,36,846,7,1,2,0,5,0,0
378,57,14318,36,1,3,0,1,0,1
379,52,362,6,0,1,1,1,1,0
380,39,2212,20,1,2,1,4,0,0
381,38,12976,18,0,3,0,1,0,1
382,25,1283,22,0,2,2,1,0,0
383,26,1330,12,1,2,1,1,0,2
384,26,4272,30,1,1,1,0,1,0
385,25,2238,18,0,2,1,5,0,0
386,21,1126,18,0,2,2,5,0,0
387,40,7374,18,1,3,1,4,0,1
388,27,2326,15,1,2,1,0,2,1
389,27,1449,9,0,2,1,0,0,0
390,30,1820,18,1,3,1,1,0,0
391,19,983,12,0,1,2,4,3,1
392,39,3249,36,1,3,0,1,0,0
393,31,1957,6,0,2,1,5,0,0
394,31,2406,9,1,3,1,4,0,0
395,32,11760,39,1,2,2,3,1,1
396,55,2578,12,0,3,0,4,0,0
397,46,2348,36,1,2,1,4,0,0
398,46,1223,12,1,2,2,1,0,1
399,43,1516,24,0,1,1,5,3,0
400,39,1473,18,1,2,1,5,0,0
401,28,1887,18,1,2,1,0,0,1
402,27,8648,24,1,2,1,0,0,0
403,27,802,14,1,1,1,1,0,0
404,43,2899,18,1,2,1,1,0,1
405,22,2039,24,1,2,1,5,0,1
406,43,2197,24,1,2,1,1,0,0
407,27,1053,15,1,2,1,5,0,0
408,26,3235,24,1,3,1,5,2,0
409,28,939,12,1,2,1,1,2,2
410,20,1967,24,0,2,1,5,0,1
411,35,7253,33,1,3,1,1,0,0
412,42,2292,12,1,3,1,0,0,0
413,40,1597,10,1,1,2,1,2,0
414,35,1381,24,0,2,1,1,0,0
415,35,5842,36,1,2,1,1,0,0
416,33,2579,12,1,1,1,1,0,0
417,23,8471,18,0,2,2,3,0,0
418,31,2782,21,0,3,1,1,2,0
419,33,1042,18,0,2,1,1,0,1
420,20,3186,15,0,2,2,1,3,0
421,30,2028,12,1,2,1,1,0,1
422,47,958,12,1,1,1,1,0,1
423,34,1591,21,1,3,1,4,1,0
424,25,2762,12,0,2,1,4,0,1
425,21,2779,18,1,2,2,1,0,1
426,29,2743,28,1,2,1,5,0,0
427,46,1149,18,1,2,1,5,3,0
428,20,1313,9,1,2,1,4,0,0
429,55,1190,18,0,0,0,6,0,0
430,74,3448,5,1,1,1,0,0,0
431,29,11328,24,1,3,1,7,0,1
432,36,1872,6,1,3,0,4,0,0
433,33,2058,24,1,2,1,6,0,0
434,25,2136,9,1,2,1,4,0,0
435,25,1484,12,1,2,1,5,0,1
436,23,660,6,1,1,2,6,2,0
437,37,1287,24,0,2,1,1,3,0
438,65,3394,42,1,0,1,6,0,0
439,26,609,12,0,0,1,0,0,2
440,39,1884,12,1,3,1,1,0,0
441,30,1620,12,0,2,1,4,0,0
442,29,2629,20,1,2,1,7,0,1
443,41,719,12,1,1,1,3,0,0
444,30,5096,48,0,3,1,4,0,1
445,41,1244,9,0,1,2,3,0,0
446,34,1842,36,0,2,1,1,0,0
447,35,2576,7,1,2,1,5,0,1
448,55,1424,12,0,3,1,4,0,2
449,61,1512,15,1,2,1,6,3,1
450,30,11054,36,1,3,1,1,0,0
451,29,518,6,0,2,1,5,0,0
452,34,2759,12,1,2,1,4,0,0
453,35,2670,24,1,3,1,1,0,0
454,31,4817,24,1,2,1,1,0,0
455,29,2679,24,0,3,1,1,0,0
456,36,3905,11,1,2,2,1,0,0
457,35,3386,12,1,2,0,1,0,0
458,27,343,6,0,2,1,2,0,0
459,32,4594,18,1,2,1,5,0,0
460,37,3620,36,1,2,1,4,0,0
461,36,1721,15,1,2,1,1,0,0
462,34,3017,12,0,3,2,4,0,1
463,38,754,12,1,2,1,3,0,1
464,34,1950,18,1,2,1,0,0,0
465,63,2924,24,1,2,1,1,0,0
466,29,1659,24,0,1,2,5,0,0
467,32,7238,48,1,2,1,5,0,0
468,26,2764,33,0,2,1,0,0,0
469,35,4679,24,1,1,1,1,0,0
470,22,3092,24,1,2,2,5,1,1
471,23,448,6,0,2,1,3,0,0
472,28,654,9,1,1,1,1,0,0
473,36,1238,6,1,3,1,3,0,0
474,33,1245,18,1,2,1,5,0,1
475,26,3114,18,0,2,2,4,0,0
476,24,2569,39,1,2,1,1,2,0
477,25,5152,24,1,2,1,5,0,2
478,39,1037,12,1,1,1,0,1,1
479,44,1478,15,1,2,1,4,0,0
480,23,3573,12,0,1,1,5,0,1
481,26,1201,24,1,2,1,1,0,1
482,57,3622,30,0,2,2,4,3,0
483,30,960,15,0,2,1,4,3,0
484,44,1163,12,1,2,1,1,2,0
485,47,1209,6,1,3,1,1,0,1
486,52,3077,12,1,2,1,5,0,0
487,62,3757,24,0,2,0,1,0,0
488,35,1418,10,1,1,2,1,1,0
489,26,3518,6,1,2,2,1,0,0
490,26,1934,12,1,2,1,5,0,0
491,42,8318,27,0,3,0,0,0,1
492,27,1237,6,0,2,1,5,1,0
493,38,368,6,1,2,1,5,0,1
494,39,2122,12,1,1,2,1,0,0
495,20,2996,24,1,2,1,4,0,0
496,29,9034,36,1,3,2,4,1,1
497,40,1585,24,1,2,1,4,0,0
498,32,1301,18,1,1,1,5,0,1
499,28,1323,6,1,2,1,1,1,2
500,27,3123,24,0,2,1,1,0,0
501,42,5493,36,1,2,0,1,0,0
502,49,1126,9,1,2,1,5,1,2
503,38,1216,24,1,2,1,5,1,1
504,24,1207,24,0,2,2,1,0,0
505,27,1309,10,1,1,1,1,0,0
506,36,2360,15,1,2,1,1,2,2
507,34,6850,15,1,3,1,1,1,1
508,28,1413,24,1,2,1,5,0,0
509,45,8588,39,1,3,1,1,1,0
510,26,759,12,1,2,1,1,0,0
511,32,4686,36,1,3,0,1,0,0
512,26,2687,15,1,2,2,0,0,2
513,20,585,12,1,2,2,5,0,1
514,54,2255,24,1,2,1,1,0,0
515,37,609,6,0,2,1,1,0,0
516,40,1361,6,1,1,1,1,0,0
517,23,7127,36,0,2,2,4,0,0
518,43,1203,6,1,2,1,1,1,0
519,36,700,6,1,2,0,5,0,0
520,44,5507,24,1,2,0,6,0,0
521,24,3190,18,0,2,1,5,0,0
522,53,7119,48,1,2,0,4,0,0
523,23,3488,24,0,2,1,1,1,0
524,26,1113,18,0,1,1,5,0,1
525,30,7966,26,1,2,1,1,0,1
526,31,1532,15,0,2,1,3,1,0
527,42,1503,4,1,1,1,5,0,0
528,31,2302,36,1,2,2,5,0,0
529,41,662,6,1,1,1,1,0,0
530,32,2273,36,1,2,1,3,0,1
531,28,2631,15,0,2,2,1,1,1
532,41,1503,12,1,2,2,1,0,0
533,26,1311,24,1,2,1,5,1,0
534,25,3105,24,1,2,1,5,0,0
535,33,2319,21,1,2,2,3,0,2
536,75,1374,6,0,3,1,1,0,0
537,37,3612,18,0,2,1,4,0,1
538,42,7763,48,1,3,0,1,0,0
539,45,3049,18,0,1,1,4,0,2
540,23,1534,12,1,2,2,5,0,1
541,60,2032,24,1,2,0,1,0,0
542,31,6350,30,1,2,1,4,0,0
543,34,2864,18,1,1,1,4,0,2
544,61,1255,12,1,1,1,1,0,0
545,43,1333,24,1,2,0,1,0,0
546,37,2022,24,0,2,1,1,0,0
547,32,1552,24,1,2,1,5,0,0
548,24,626,12,0,1,1,5,0,0
549,35,8858,48,1,2,0,1,0,0
550,23,996,12,0,2,1,6,0,0
551,45,1750,6,1,1,1,5,2,0
552,34,6999,48,1,2,1,5,0,0
553,27,1995,12,1,2,1,1,1,1
554,67,1199,9,0,3,1,3,0,1
555,22,1331,12,1,2,1,5,0,1
556,28,2278,18,0,2,1,1,1,1
557,29,5003,21,0,2,1,1,0,0
558,27,3552,24,1,2,1,4,0,0
559,31,1928,18,1,1,1,4,0,1
560,49,2964,24,1,2,0,1,0,0
561,24,1546,24,1,1,2,5,0,0
562,29,683,6,0,2,1,5,0,2
563,37,12389,36,1,2,0,1,0,1
564,37,4712,24,1,3,1,0,0,1
565,23,1553,24,0,2,2,5,1,1
566,36,1372,12,1,2,1,1,0,0
567,34,2578,24,1,2,1,5,3,0
568,41,3979,48,1,2,1,5,0,1
569,31,6758,48,0,2,1,5,0,0
570,23,3234,24,0,1,2,4,0,0
571,38,5954,30,1,2,1,5,0,0
572,26,5433,24,0,3,2,1,0,0
573,22,806,15,0,1,1,0,0,0
574,27,1082,9,1,1,1,5,0,1
575,24,2788,15,0,2,1,4,0,0
576,27,2930,12,0,2,1,5,0,1
577,33,1927,24,0,2,1,3,0,0
578,27,2820,36,1,2,1,1,0,1
579,27,937,24,1,1,1,3,0,0
580,30,1056,18,1,2,1,1,0,1
581,49,3124,12,1,1,1,1,0,1
582,26,1388,9,0,2,2,4,0,0
583,33,2384,36,1,1,2,6,0,1
584,52,2133,12,0,3,0,1,0,0
585,20,2039,18,0,2,2,4,0,0
586,36,2799,9,1,2,2,1,0,0
587,21,1289,12,1,1,1,4,0,0
588,47,1217,18,1,1,1,2,0,0
589,60,2246,12,1,2,1,4,0,0
590,58,385,12,0,1,1,5,0,0
591,42,1965,24,0,2,2,1,0,1
592,36,1572,21,0,1,1,0,3,0
593,20,2718,24,0,1,2,1,0,1
594,40,1358,24,1,3,1,7,0,0
595,32,931,6,0,1,1,1,1,1
596,23,1442,24,0,2,2,1,0,0
597,36,4241,24,1,1,1,0,0,1
598,31,2775,18,1,2,1,1,0,0
599,32,3863,24,1,2,0,0,0,0
600,45,2329,7,0,2,1,5,0,1
601,30,918,9,0,2,1,4,0,1
602,34,1837,24,0,1,0,3,0,1
603,28,3349,36,0,3,1,4,0,0
604,23,1275,10,0,2,1,4,0,2
605,22,2828,24,1,2,1,4,2,0
606,74,4526,24,1,3,1,0,0,0
607,50,2671,36,0,2,0,5,1,1
608,33,2051,18,1,2,1,5,0,0
609,45,1300,15,1,2,0,1,0,0
610,22,741,12,0,2,1,2,1,0
611,48,1240,10,0,1,0,1,1,2
612,29,3357,21,0,2,1,5,3,0
613,22,3632,24,0,2,2,1,0,0
614,22,1808,18,0,2,1,4,0,0
615,48,12204,48,1,3,1,0,0,1
616,27,9157,60,1,3,0,5,0,1
617,37,3676,6,1,2,2,1,0,0
618,21,3441,30,0,2,2,4,1,1
619,49,640,12,1,1,1,1,0,0
620,27,3652,21,1,2,1,0,0,1
621,32,1530,18,1,2,1,1,0,0
622,38,3914,48,1,2,1,0,0,0
623,22,1858,12,0,2,2,4,0,0
624,65,2600,18,1,2,0,5,0,0
625,35,1979,15,1,2,1,5,0,0
626,41,2116,6,1,2,1,4,0,2
627,29,1437,9,1,2,1,1,1,1
628,36,4042,42,1,2,1,4,2,0
629,64,3832,9,1,1,1,3,0,0
630,28,3660,24,0,2,1,5,0,0
631,44,1553,18,1,2,1,4,0,0
632,23,1444,15,1,2,1,5,0,1
633,19,1980,9,0,2,2,4,0,0
634,25,1355,24,0,1,1,1,0,1
635,47,1393,12,1,2,1,3,0,0
636,28,1376,24,0,2,1,5,2,0
637,21,15653,60,1,2,1,5,0,0
638,34,1493,12,0,2,1,5,0,0
639,26,4370,42,1,2,1,5,0,0
640,27,750,18,0,0,1,3,0,0
641,38,1308,15,1,1,1,6,0,1
642,40,4623,15,1,3,1,3,1,0
643,33,1851,24,1,2,1,5,0,0
644,32,1880,18,1,3,1,5,0,0
645,27,7980,36,1,2,2,0,0,0
646,32,4583,30,1,2,1,4,0,0
647,26,1386,12,0,2,1,1,2,0
648,38,947,24,1,2,0,1,0,2
649,40,684,12,1,1,2,3,0,0
650,50,7476,48,1,3,0,3,0,0
651,37,1922,12,1,1,1,4,0,1
652,45,2303,24,1,2,1,1,0,0
653,42,8086,36,1,3,1,1,1,1
654,35,2346,24,1,2,1,1,0,0
655,22,3973,14,1,2,0,1,0,0
656,41,888,12,1,1,1,1,0,1
657,37,10222,48,1,2,1,5,0,0
658,28,4221,30,0,2,1,0,0,1
659,41,6361,18,1,2,1,4,0,1
660,23,1297,12,1,2,2,5,0,2
661,23,900,12,1,2,1,1,0,0
662,50,2241,21,1,2,1,4,0,0
663,35,1050,6,1,3,1,4,0,1
